"Name","Street Address","City","State","Zip","Latitude","Longitude"
"SOAR ACADEMY","3201 WEST OXFORD AVENUE","DENVER","CO","80236",39.6440953,-105.0294875
"FOX HOLLOW ELEMENTARY SCHOOL","6363 SOUTH WACO STREET","AURORA","CO","80116",39.601682,-104.7827952
"LIBERTY MIDDLE SCHOOL","21500 EAST DRY CREEK ROAD","AURORA","CO","80016",39.5786693,-104.7381828
"SKY VISTA MIDDLE SCHOOL","4500 S HIMALAYA STREET","AURORA","CO","80015",39.6344703,-104.748707
"ANTELOPE RIDGE ELEMENTARY SCHOOL","5455 SOUTH TEMPE STREET","AURORA","CO","80015",39.61775799999999,-104.725167
"COYOTE HILLS ELEMENTARY SCHOOL","24605 E DAVIES WAY","AURORA","CO","80016",39.591425,-104.702775
"ARROWHEAD ELEMENTARY SCHOOL","19100 EAST BATES AVENUE","AURORA","CO","80013",39.6644244,-104.7661057
"ASPEN CROSSING ELEMENTARY SCHOOL","4655 S HIMALAYA STREET","CENTENNIAL","CO","80015",39.6324986,-104.7520485
"BELLEVIEW ELEMENTARY SCHOOL","4851 SOUTH DAYTON STREET","GREENWOOD VILLAGE","CO","80111",39.62934509999999,-104.8775744
"BUFFALO TRAIL ELEMENTARY SCHOOL","24300 EAST PROGRESS DRIVE","AURORA","CO","80016",39.6209661,-104.7047797
"CANYON CREEK ELEMENTARY SCHOOL","6070 SOUTH VERSAILLES PARKWAY","AURORA","CO","80015",39.6059741,-104.7211568
"CHALLENGE SCHOOL","9659 EAST MISSISSIPPI AVENUE","DENVER","CO","80231",39.69756,-104.876579
"CHEROKEE TRAIL HIGH SCHOOL","25901 ARAPAHOE PARKWAY","AURORA","CO","80016",39.5915501,-104.6854913
"CAMPUS MIDDLE SCHOOL","4785 SOUTH DAYTON STREET","GREENWOOD VILLAGE","CO","80111",39.6305379,-104.87659
"WEST MIDDLE SCHOOL","5151 SOUTH HOLLY","GREENWOOD VILLAGE","CO","80121",39.62333659999999,-104.9239675
"CHERRY CREEK HIGH SCHOOL","9300 EAST UNION AVENUE","GREENWOOD VILLAGE","CO","80111",39.6305491,-104.8796987
"CHERRY CREEK CHARTER ACADEMY","6260 SOUTH DAYTON STREET","GREENWOOD VILLAGE","CO","80111",39.6027794,-104.8752747
"HIGH PLAINS ELEMENTARY SCHOOL","6100 SOUTH FULTON STREET","GREENWOOD VILLAGE","CO","80111",39.6247928,-104.8718162
"CHERRY HILLS VILLAGE ELEMENTARY SCHOOL","2400 EAST QUINCY AVENUE","CHERRY HILLS VILLAGE","CO","80110",39.6386002,-104.9588607
"CIMARRON ELEMENTARY SCHOOL","17373 EAST LEHIGH PL","AURORA","CO","80013",39.6488023,-104.7845644
"COTTONWOOD CREEK ELEMENTARY SCHOOL","11200 EAST ORCHARD AVENUE","ENGLEWOOD","CO","80111",39.608898,-104.858694
"CREEKSIDE ELEMENTARY SCHOOL","19993 EAST LONG AVENUE","CENTENNIAL","CO","80016",39.579547,-104.757215
"DAKOTA VALLEY ELEMENTARY SCHOOL","3950 SOUTH KIRK WAY","AURORA","CO","80013",39.6460346,-104.745245
"DRY CREEK ELEMENTARY SCHOOL","7686 EAST HINSDALE AVENUE","ENGLEWOOD","CO","80112",39.5827068,-104.9077925
"EAGLECREST HIGH SCHOOL","5100 SOUTH PICADILLY STREET","CENTENNIAL","CO","80015",39.6242692,-104.7350274
"EASTRIDGE COMMUNITY ELEMENTARY SCHOOL","11777 EAST WESLEY AVENUE","AURORA","CO","80014",39.673184,-104.851294
"FALCON CREEK MIDDLE SCHOOL","6100 SOUTH GENOA STREET","AURORA","CO","80016",39.6062579,-104.7553949
"FOX RIDGE MIDDLE SCHOOL","26301 EAST ARAPAHOE ROAD","AURORA","CO","80016",39.5912199,-104.6809788
"GRANDVIEW HIGH SCHOOL","20500 EAST ARAPAHOE ROAD","AURORA","CO","80016",39.5927015,-104.7466227
"GREENWOOD ELEMENTARY SCHOOL","5550 SOUTH HOLLY STREET","GREENWOOD VILLAGE","CO","80111",39.6158971,-104.9215334
"HERITAGE ELEMENTARY SCHOOL","6867 EAST HERITAGE PLACE SOUTH","CENTENNIAL","CO","80111",39.5970538,-104.9105979
"HIGHLINE COMMUNITY ELEMENTARY SCHOOL","11000 EAST EXPOSITION","AURORA","CO","80012",39.7027896,-104.8589086
"HOLLY HILLS ELEMENTARY SCHOOL","6161 EAST CORNELL AVENUE","DENVER","CO","80222",39.6635037,-104.9166005
"HOMESTEAD ELEMENTARY SCHOOL","7451 SOUTH HOMESTEAD PARKWAY","CENTENNIAL","CO","80112",39.5817739,-104.9100276
"HORIZON MIDDLE SCHOOL","3981 SOUTH RESERVOIR ROAD","AURORA","CO","80013",39.643274,-104.771555
"INDEPENDENCE ELEMENTARY SCHOOL","4700 SOUTH MEMPHIS STREET","AURORA","CO","80015",39.6318879,-104.79745
"INDIAN RIDGE ELEMENTARY SCHOOL","16501 EAST PROGRESS DRIVE","AURORA","CO","80015",39.6211153,-104.7973296
"BLACK FOREST HILLS ELEMENTARY SCHOOL","25233 E. GLASGOW DR","AURORA","CO","80016",39.58495569999999,-104.6953558
"THE COTTAGE AT HOLLY RIDGE","3301 SOUTH MONACO PARKWAY","DENVER","CO","80222",39.6571036,-104.9139041
"LAREDO MIDDLE SCHOOL","5000 SOUTH LAREDO STREET","AURORA","CO","80015",39.6250941,-104.8032576
"MEADOW POINT ELEMENTARY SCHOOL","17901 EAST GRAND AVENUE","AURORA","CO","80015",39.626615,-104.779326
"MISSION VIEJO ELEMENTARY SCHOOL","3855 SOUTH ALICIA PARKWAY","AURORA","CO","80013",39.6467769,-104.8049111
"MOUNTAIN VISTA ELEMENTARY SCHOOL","22200 EAST RADCLIFF PARKWAY","CENTENNIAL","CO","80015",39.6324827,-104.728612
"OPTIONS SCHOOL","16500 E. SMOKEY HILL ROAD","AURORA","CO","80015",39.6281087,-104.7978445
"OUTBACK PRESCHOOL","5436 SOUTH RIVIERA WAY","AURORA","CO","80015",39.6186987,-104.7360796
"PRAIRIE PRESCHOOL","12600 EAST JEWELL AVE","AURORA","CO","80012",39.6811346,-104.8398356
"OVERLAND HIGH SCHOOL","12400 EAST JEWELL AVENUE","AURORA","CO","80012",39.6804758,-104.8431029
"PEAKVIEW ELEMENTARY SCHOOL","19451 EAST PROGRESS CIRCLE","CENTENNIAL","CO","80015",39.622268,-104.7611723
"PINE RIDGE ELEMENTARY SCHOOL","6525 S. WHEATLANDS PARKWAY","AURORA","CO","80016",39.5970495,-104.6938003
"POLTON COMMUNITY ELEMENTARY SCHOOL","2985 SOUTH OAKLAND STREET","AURORA","CO","80014",39.663868,-104.851611
"PONDEROSA ELEMENTARY SCHOOL","1885 SOUTH LIMA STREET","AURORA","CO","80012",39.68422,-104.856632
"PRAIRIE MIDDLE SCHOOL","12600 EAST JEWELL AVENUE","AURORA","CO","80012",39.6811346,-104.8398356
"RED HAWK RIDGE ELEMENTARY SCHOOL","16251 E GEDDES AVENUE","CENTENNIAL","CO","80112",39.5826948,-104.8923728
"ROLLING HILLS ELEMENTARY SCHOOL","5756 SOUTH BISCAY CIRCLE","AURORA","CO","80015",39.6108539,-104.765336
"SAGEBRUSH ELEMENTARY SCHOOL","14700 EAST TEMPLE PLACE","AURORA","CO","80015",39.632057,-104.8187284
"SMOKY HILL HIGH SCHOOL","16100 EAST SMOKY HILL ROAD","AURORA","CO","80015",39.6272751,-104.7998834
"SUMMIT ELEMENTARY SCHOOL","18201 EAST QUINCY AVE","AURORA","CO","80015",39.640284,-104.776168
"SUNRISE ELEMENTARY SCHOOL","4050 SOUTH GENOA WAY","AURORA","CO","80013",39.6437532,-104.7574148
"THUNDER RIDGE MIDDLE SCHOOL","5250 SOUTH PICADILLY STREET","AURORA","CO","80015",39.6213208,-104.7369594
"TIMBERLINE ELEMENTARY SCHOOL","5500 SOUTH KILLARNEY STREET","CENTENNIAL","CO","80015",39.6167497,-104.7479466
"TRAILS WEST ELEMENTARY SCHOOL","5400 SOUTH WACO STREET","CENTENNIAL","CO","80015",39.6188706,-104.7797097
"VILLAGE EAST COMMUNITY ELEMENTARY SCHOOL","1433 SOUTH OAKLAND STREET","AURORA","CO","80012",39.69115619999999,-104.8522695
"WALNUT HILLS COMMUNITY ELEMENTARY SCHOOL","8195 EAST COSTILLA BOULEVARD","CENTENNIAL","CO","80112",39.5902475,-104.8962342
"WILLOW CREEK ELEMENTARY SCHOOL","7855 SOUTH WILLOW WAY","CENTENNIAL","CO","80112",39.5741989,-104.8884188
